verse,reference,emotional_tags,situational_tags,example_user_phrasings,verse_es
"Out of the depths I call to you, Lord. Lord, hear my voice: give heed with your ears to my loud plea.","Psalm 130:1-2","[""despair"", ""helplessness""]","[]","[""I feel like I'm in the depths of despair."", ""I don't know how much lower I can go."", ""I need God to hear me right now.""]","De lo profundo, oh Yahvé, a ti clamo. Señor, escucha mi voz; estén atentos tus oídos a la voz de mis súplicas."
"By the waters of Babylon there we sat, and we wept at the thought of Zion. There on the poplars we hung our harps. For there our captors called for a song: our tormentors, rejoicing, saying: “Sing us one of the songs of Zion.” How can we sing the Lord’s song in the foreigner’s land?","Psalm 137:1-4","[""grief"", ""sadness"", ""loneliness""]","[""immigration_status"", ""social_isolation""]","[""I feel so out of place here, far from everything familiar."", ""I don't know how to feel joy in this situation."", ""Being away from home is breaking my heart.""]","Junto a los ríos de Babilonia nos sentábamos, y llorábamos al acordarnos de Sión. En los sauces de esa tierra colgamos nuestras arpas. Porque allí, los que nos llevaron cautivos nos pedían canciones; nuestros opresores nos exigían canciones de alegría, diciendo: “¡Cántennos alguna de las canciones de Sión!”. ¿Cómo podremos cantar las canciones de Yahvé en una tierra extranjera?"
"How long, Lord, have I cried out and without you hearing me! I cry to you, “Violence!” but you do not help. Why do you make me look upon wickedness and behold trouble? Destruction and violence are before my eyes, and fighting and quarrelling. Therefore the law is weak, and justice is never rendered; for the wicked surround the righteous, so that justice is perverted.","Habakkuk 1:2-4","[""anger_at_god"", ""doubt"", ""discouragement""]","[""persecution_or_discrimination"", ""betrayal""]","[""Why does God let injustice happen?"", ""I've been praying and nothing seems to change."", ""I'm angry that things aren't fair.""]","Yahvé, ¿hasta cuándo voy a pedirte ayuda sin que me escuches? Te grito: “¡Violencia!”, pero tú no vienes a salvar. ¿Por qué me obligas a ver la maldad y te quedas mirando el sufrimiento? Veo ante mí destrucción y violencia; surge la lucha y se levanta el pleito. Por eso la ley ha perdido su fuerza y la justicia nunca se aplica; los malvados acosan a los justos, y por eso la justicia sale pervertida."
"I will repay you for the years which the swarming locust has eaten. The hopping, the destroying, and the cutting locusts, my great army which I sent among you, and my people will never again be put to shame.","Joel 2:25","[""hope"", ""regret""]","[""financial_hardship"", ""job_loss""]","[""I feel like I've lost so many years to hard times."", ""I wonder if I can ever get back what I've lost."", ""I regret how much time was wasted.""]","Yo les devolveré lo que perdieron en los años que comió la langosta, el pulgón, el saltamontes y la oruga, ese gran ejército que envié contra ustedes."
"“Why say ‘possibly’?” Jesus replied. “Everything is possible for one who has faith.” The boy’s father immediately cried out, “I have faith; help my want of faith!”","Mark 9:23-24","[""doubt"", ""helplessness""]","[""caregiving"", ""parenting_struggles""]","[""I want to believe but I'm struggling with doubt."", ""I don't have enough faith right now."", ""I feel helpless watching someone I love suffer.""]","Jesús le dijo: “Si puedes creer, todo es posible para el que cree”. Inmediatamente el padre del niño gritó con lágrimas: “¡Creo! Ayuda a mi incredulidad”."
"Then he withdrew about a stone’s throw, and knelt down and began to pray. “Father,” he said, “if it is your pleasure, spare me this cup; only, not my will but yours be done.” Presently there appeared to him an angel from heaven, who strengthened him. And, as his anguish became intense, he prayed still more earnestly, while his sweat was like great drops of blood falling on the ground.","Luke 22:41-44","[""dread"", ""fear"", ""anxiety""]","[""discernment""]","[""I'm dreading what's about to happen."", ""I feel so anxious about the road ahead."", ""I wish there was another way through this.""]","Y él se apartó de ellos a distancia como de un tiro de piedra, y puesto de rodillas oró, diciendo: “Padre, si quieres, aparta de mí esta copa; pero no se haga mi voluntad, sino la tuya”. Y se le apareció un ángel del cielo para fortalecerle. Y estando en agonía, oraba más intensamente; y era su sudor como grandes gotas de sangre que caían hasta la tierra."
"Miserable man that I am! Who will deliver me from the body that is bringing me to this death? Thank God, there is deliverance through Jesus Christ, our Lord!","Romans 7:24-25","[""despair"", ""shame"", ""guilt""]","[""addiction_recovery""]","[""I keep doing the things I hate."", ""I feel trapped by my own bad habits."", ""I don't know how to break free from this cycle.""]","¡Qué miserable soy! ¿Quién me librará del cuerpo de esta muerte? ¡Doy gracias a Dios por Jesucristo, nuestro Señor! Así que con la mente, yo mismo sirvo a la ley de Dios, pero con la carne, a la ley del pecado."
"We want you, friends, to know that, in the troubles which befell us in Roman Asia, we were burdened altogether beyond our strength, so much so that we even despaired of life. Indeed, we had the presentiment that we must die, so that we might rely, not on ourselves, but on God who raises the dead.","2 Corinthians 1:8-9","[""despair"", ""exhaustion"", ""helplessness""]","[]","[""I feel so overwhelmed I don't know how I'll keep going."", ""I'm completely burned out and don't have anything left."", ""I'm relying on God because I can't do this on my own.""]","Hermanos, no queremos que ignoren las aflicciones que sufrimos en la provincia de Asia. Estábamos tan agobiados bajo tanta presión, mucho más allá de nuestras fuerzas, que hasta perdimos la esperanza de salir con vida. De hecho, sentíamos que teníamos la sentencia de muerte encima, para que aprendiéramos a no confiar en nosotros mismos, sino en Dios, que resucita a los muertos."
"He will wipe away all tears from their eyes. There will be no more death, nor will there be any more grief or crying or pain. The old order has passed away.","Revelation 21:4","[""hope"", ""grief"", ""relief""]","[""bereavement"", ""terminal_illness""]","[""I long for a day when there's no more pain."", ""I hope this suffering won't last forever."", ""I lost someone and I long for eternal comfort.""]","Enjugará toda lágrima de sus ojos. La muerte ya no existirá, ni habrá más luto, ni llanto, ni dolor. Las primeras cosas han pasado."
"Be angry, yet do not sin. Do not let the sun go down on your anger; and give no opportunity to the devil.","Ephesians 4:26-27","[""anger""]","[]","[""I'm so angry right now I don't know what to do with it."", ""I keep holding onto this anger."", ""I don't want my anger to control me.""]","“Si se enojan, no pequen”. No dejen que el sol se ponga estando aún enojados, ni le den cabida al diablo."
"Let all bitterness, passion, anger, brawling, and abusive language be banished from among you, as well as all malice. Be kind to one another, tenderhearted, ready to forgive one another, just as God, in Christ, forgave you.","Ephesians 4:31-32","[""bitterness"", ""anger""]","[""betrayal""]","[""I can't seem to let go of this bitterness."", ""I'm still holding a grudge against them."", ""I don't know how to forgive after what they did.""]","Alejen de ustedes toda amargura, pasión, enojo, gritos, insultos y toda clase de maldad. Más bien, sean bondadosos y compasivos unos con otros, y perdónense mutuamente, así como Dios los perdonó a ustedes en Cristo."
"Love is long-suffering, and kind; love is never envious, never boastful, never conceited, never behaves unbecomingly; love is never self-seeking, never provoked, never reckons up her wrongs; love never rejoices at evil, but rejoices in the triumph of truth; love bears with all things, ever trustful, ever hopeful, ever patient.","1 Corinthians 13:4-7","[""love"", ""jealousy""]","[]","[""I feel resentful of what others have."", ""I wish I could love without keeping score."", ""I struggle not to compare myself to others.""]","El amor es paciente y bondadoso. El amor no tiene envidia. El amor no se jacta, no es orgulloso, no se comporta de forma inadecuada, no busca su propio camino, no se provoca, no tiene en cuenta el mal; no se alegra de la injusticia, sino que se alegra con la verdad; lo soporta todo, lo cree todo, lo espera todo y lo soporta todo."
"For father and mother have left me; but the Lord will take me up.","Psalm 27:10","[""rejection"", ""loneliness""]","[""estrangement""]","[""My family doesn't want anything to do with me."", ""I feel abandoned by the people who should love me."", ""I don't feel like I belong anywhere.""]","Aunque mi padre y mi madre me abandonen, Yahvé me acogerá."
"When I think of God, I moan; when I muse, my spirit is faint. When you hold my eyes awake, and I am restless and speechless.","Psalm 77:3-4","[""numbness"", ""despair""]","[]","[""I don't feel anything anymore."", ""I can't sleep and my mind just won't stop."", ""I feel like I'm just going through the motions.""]","Me acuerdo de Dios, y gimo. Me quejo, y mi espíritu se desmaya. Selah. No me dejas cerrar los ojos. Estoy tan angustiado que no puedo ni hablar."
"Are not two sparrows sold for a one copper coin? Yet not one of them will fall to the ground without your Father’s knowledge. While as for you, even the hairs of your head are numbered. Do not, therefore, be afraid; you are of more value than many sparrows.","Matthew 10:29-31","[""worry_for_others"", ""fear""]","[""parenting_struggles""]","[""I'm so scared something bad will happen to my kids."", ""I can't stop worrying about my family's safety."", ""I feel afraid for the people I love.""]","¿No se venden dos pajaritos por una moneda de muy poco valor? Sin embargo, ni uno solo de ellos cae al suelo si no es por la voluntad de su Padre. En cuanto a ustedes, hasta los cabellos de su cabeza están todos contados. Así que, no tengan miedo. Ustedes valen más que muchos pajaritos."
"God opposes the haughty, but gives grace to the humble. Humble yourselves before the Lord, and he will exalt you.","James 4:6, 10","[""pride""]","[]","[""I don't like admitting when I'm wrong."", ""I feel like I have to prove myself to everyone."", ""I struggle to ask for help.""]","Pero él nos da mayor gracia. Por eso dice: “Dios se opone a los orgullosos, pero da gracia a los humildes”. Humíllense ante el Señor, y él los exaltará."
"For I, however I am placed, have learned to be independent of circumstances. I know how to face humble circumstances, and I know how to face prosperity. Into all and every human experience I have been initiated – into plenty and hunger, into prosperity and want. I can do everything through the strength of the one who makes me strong!","Philippians 4:11-13","[""contentment"", ""faith""]","[""financial_hardship""]","[""I'm trying to be at peace no matter what my circumstances look like."", ""I don't have much right now, but I want to feel okay with that."", ""I want to stop comparing my situation to what I used to have.""]","No digo esto porque esté necesitado, pues he aprendido a estar satisfecho en cualquier situación en que me encuentre. Sé lo que es vivir en la pobreza, y sé lo que es vivir en la abundancia. He aprendido el secreto de ser feliz en cualquier situación, ya sea que esté bien alimentado o que tenga hambre, ya sea que tenga abundancia o que pase necesidad. Todo lo puedo en Cristo que me fortalece."
"Trust in the Lord, and do good; remain in the land, and deal faithfully: then the Lord will be your delight, he will grant you your heart’s petitions.","Psalm 37:3-4","[""delight"", ""hope""]","[]","[""I want to find joy in my faith again."", ""I'm trying to trust that things will work out."", ""I long to feel that closeness with God again.""]","Confía en Yahvé y haz el bien; habita en la tierra y disfruta de pastos seguros. Deléitate en Yahvé, y él te concederá los deseos de tu corazón."
"When I look at your heavens, the work of your fingers, the moon and the stars, which you have set there, what are mortals, that you think of them, humans, that you visit them?","Psalm 8:3-4","[""wonder"", ""gratitude""]","[]","[""I feel so small compared to everything around me."", ""I'm in awe of how amazing creation is."", ""It amazes me that God cares about someone like me.""]","Cuando contemplo tus cielos, obra de tus dedos, la luna y las estrellas que tú has creado, me pregunto: ¿Qué es el hombre, para que te acuerdes de él? ¿Qué es el hijo del hombre, para que lo cuides?"
"Many misfortunes befall the righteous, but the Lord delivers them out of them all. He guards all their bones, none are broken.","Psalm 34:19-20","[""fear"", ""relief""]","[""accident_or_injury"", ""personal_illness""]","[""I'm scared after what happened to me."", ""I'm recovering from an injury and don't know what's next."", ""I'm grateful I wasn't hurt worse.""]","Muchas son las aflicciones de los justos, pero de todas ellas los libra Yahvé. Él protege todos sus huesos; ni uno solo de ellos será quebrado."
"And he got up and went to his father. But, while he was still a long way off, his father saw him and was deeply moved; he ran and threw his arms around his neck and kissed him. ‘Father,’ the son said, ‘I sinned against heaven and against you; I am no longer fit to be called your son.’ But the father turned to his servants and said, ‘Be quick and fetch a robe – the very best – and put it on him; give him a ring for his finger and sandals for his feet; and bring the fattened calf and kill it, and let us eat and make merry; for here is my son who was dead, and is alive again, was lost, and is found.’","Luke 15:20-24","[""shame"", ""relief"", ""hope""]","[""returning_to_faith""]","[""I've been away from my faith for a long time and don't know how to come back."", ""I feel ashamed about how far I've drifted."", ""I want to return but I'm afraid I won't be welcomed.""]","Y levantándose, vino a su padre. Y cuando aún estaba lejos, lo vio su padre, y fue movido a misericordia, y corrió, y se echó sobre su cuello, y le besó. Y el hijo le dijo: ‘Padre, he pecado contra el cielo y contra ti, y ya no soy digno de ser llamado tu hijo’. Pero el padre dijo a sus siervos: ‘Saquen el mejor vestido, y vístanlo; y pónganle un anillo en su mano, y calzado en sus pies. Y traigan el becerro engordado y mátenlo, y comamos y hagamos fiesta; porque este mi hijo muerto era, y ha revivido; se había perdido, y es hallado’. Y comenzaron a regocijarse."
"The Lord is my light and my savior; whom then should I fear? The Lord protects my life; whom then should I dread? When the wicked drew near to assail me and eat up my flesh, it was those who distressed and opposed me who stumbled and fell. Though against me a host should encamp, yet my heart would be fearless: though battle should rise up against me, still would I be trustful.","Psalm 27:1-3","[""fear"", ""courage""]","[""persecution_or_discrimination"", ""bullying_or_harassment""]","[""I feel like everyone is against me right now."", ""I'm scared of what people might do to me."", ""I need courage to face the people who are against me.""]","Yahvé es mi luz y mi salvación; ¿a quién le temeré? Yahvé es la fortaleza de mi vida; ¿de quién habré de asustarme? Cuando los malvados avanzaron contra mí para devorar mi carne, fueron mis enemigos y adversarios los que tropezaron y cayeron. Aunque un ejército acampe contra mí, mi corazón no temerá; aunque estalle una guerra contra mí, aun así estaré confiado."
"Never avenge yourselves, dear friends, but make way for the wrath of God; for scripture declares – “It is for me to avenge, I will requite,” says the Lord. Rather – “If your enemy is hungry, feed him; if he is thirsty, give him to drink.” Never be conquered by evil, but conquer evil with good.","Romans 12:19-21","[""rage"", ""anger""]","[""betrayal""]","[""I want revenge on someone who hurt me."", ""I can't stop thinking about getting back at them."", ""The rage inside me feels uncontrollable.""]","No busquen la venganza ustedes mismos, amados, sino den lugar a la ira de Dios. Porque está escrito: “La venganza me pertenece; yo pagaré, dice el Señor”. Por eso “Si tu enemigo tiene hambre, aliméntalo. Si tiene sed, dale de beber; porque al hacerlo, amontonarás carbones de fuego sobre su cabeza”. No te dejes vencer por el mal, sino vence el mal con el bien."
"In silence and patience wait on the Lord. Desist from anger, abandon wrath: it leads but to evil. For evildoers will be cut off, but the land will be theirs, who wait on the Lord.","Psalm 37:7-9","[""rage"", ""anger"", ""bitterness""]","[]","[""I'm so consumed with anger I can't think straight."", ""I feel like I need to make things right myself."", ""I can't let go of my rage toward them.""]","Quédate quieto ante Yahvé y espéralo con paciencia. No te irrites por el que prospera en su camino, por el hombre que lleva a cabo sus malas intrigas. Deja el enojo y abandona la ira; no te irrites, pues eso solo conduce a hacer el mal. Porque los malvados serán destruidos, pero los que esperan en Yahvé heredarán la tierra."
"The Lord is good to those who hope in him, a place of refuge in the day of trouble.","Nahum 1:7","[""rage"", ""fear""]","[""betrayal""]","[""I don't know where to turn with all this anger inside me."", ""I feel like everything is against me right now."", ""I need a place of refuge from all this turmoil.""]","Yahvé es bueno; es un refugio en el día de la angustia, y cuida de los que confían en él."
"The helper – the Holy Spirit whom the Father will send in my name – will teach you all things, and will recall to your minds all that I have said to you.","John 14:26","[""confusion"", ""uncertainty""]","[""discernment""]","[""I don't understand what's happening in my life right now."", ""I feel so lost and confused."", ""I wish I had more clarity about my next steps.""]","Pero el Consejero, el Espíritu Santo, que el Padre enviará en mi nombre, les enseñará todas las cosas y les recordará todo lo que les he dicho."
"If any one of you lacks wisdom, they should ask wisdom from the God who gives freely to everyone without reproach, and it will be given to them.","James 1:5","[""uncertainty"", ""confusion""]","[""discernment""]","[""I don't know what decision to make."", ""I need wisdom for a hard choice."", ""I feel stuck not knowing what to do.""]","Pero si a alguno de ustedes le falta sabiduría, pídala a Dios, quien da a todos con generosidad y sin reproche, y le será concedida."
"See what great love the Father has lavished on us: he lets us be called God’s children! For that is what we are. Dear friends, we are God’s children now, and what we will be has not yet been revealed. What we do know is that, when it is revealed, we will be like him, because we will see him as he is.","1 John 3:1-2","[""insecurity"", ""shame""]","[]","[""I don't feel like I matter to anyone."", ""I struggle to believe I'm worthy of love."", ""I feel like I don't belong anywhere.""]","¡Miren qué gran amor nos ha dado el Padre, para que seamos llamados hijos de Dios! Por eso el mundo no nos conoce, porque no lo conoció a él. Amados, ahora somos hijos de Dios. Todavía no se ha revelado lo que seremos; pero sabemos que, cuando se revele, seremos como él, porque lo veremos tal como es."
"If we confess our sins, he is just and may be trusted to forgive our sins and cleanse us from all wrongdoing.","1 John 1:9","[""guilt"", ""shame""]","[]","[""I did something I deeply regret."", ""I feel so guilty about what I did."", ""I don't know how to forgive myself.""]","Si confesamos nuestros pecados, él es fiel y justo para perdonarnos los pecados y limpiarnos de toda maldad."
"He heals the broken in heart, and binds up their wounds.","Psalm 147:3","[""heartbreak"", ""grief""]","[""divorce_or_separation"", ""bereavement""]","[""My heart feels completely broken."", ""I don't think I'll ever heal from this."", ""I'm devastated after losing someone I love.""]","Él sana a los que tienen el corazón roto y les venda las heridas."
"The Spirit which God gave us was not a spirit of cowardice, but a spirit of power, love, and self-control.","2 Timothy 1:7","[""dread"", ""fear""]","[]","[""I'm terrified about what's coming."", ""I feel powerless and afraid."", ""I don't have the courage to face this.""]","Porque Dios no nos ha dado un espíritu de cobardía, sino de poder, de amor y de dominio propio."
"Though hard pressed on every side, we are never hemmed in; though perplexed, never driven to despair; though pursued, never abandoned; though struck down, never killed!","2 Corinthians 4:8-9","[""overwhelm"", ""exhaustion""]","[]","[""I feel like everything is crashing down on me."", ""I'm barely holding it together."", ""I don't know how much more I can take.""]","Nos vemos oprimidos por todos lados, pero no aplastados; perplejos, pero no desesperados; perseguidos, pero no abandonados; derribados, pero no destruidos."
"The Lord had dealt greatly with us, and we were rejoicing.","Psalm 126:3","[""gratitude"", ""pride_as_satisfaction"", ""joy""]","[]","[""I can't believe how far I've come."", ""I'm so thankful for everything God has done for me."", ""I finally feel proud of what I've accomplished.""]","¡Yahvé ha hecho grandes cosas por nosotros, y estamos llenos de alegría!"
"For you did put me together; in my mother’s womb you did weave me. I give you praise for my fashioning so full of awe, so wonderful. Your works are wonderful.","Psalm 139:13-14","[""wonder"", ""insecurity""]","[]","[""I struggle to see my own worth."", ""I don't feel like I matter."", ""I wonder if I'm truly valued.""]","Porque tú formaste lo más profundo de mi ser; me entretejiste en el vientre de mi madre. Te doy gracias, porque fui creado de manera maravillosa y sorprendente. Tus obras son maravillosas, y mi alma lo sabe muy bien."
